"","area_code","date","coho_104_ad_ret","coho_104_um_ret","coho_104_uk_ret","year","time_step","day_type","source"
"86","13","2004-03-26",0,0,0,2004,1,"WE","CRC"
"87","13","2004-03-27",0,0,0,2004,1,"WE","CRC"
"88","13","2004-03-28",0,0,0,2004,1,"WE","CRC"
"89","13","2004-03-29",0,0,0,2004,1,"WD","CRC"
"90","13","2004-03-30",0,0,0,2004,1,"WD","CRC"
"91","13","2004-03-31",0,0,0,2004,1,"WD","CRC"
"92","13","2004-04-01",0,0,0,2004,1,"WD","CRC"
"93","13","2004-04-02",0,0,0,2004,1,"WE","CRC"
"94","13","2004-04-03",0,0,0,2004,1,"WE","CRC"
"95","13","2004-04-04",0,0,0,2004,1,"WE","CRC"
"96","13","2004-04-05",0,0,0,2004,1,"WD","CRC"
"97","13","2004-04-06",0,0,0,2004,1,"WD","CRC"
"98","13","2004-04-07",0,0,0,2004,1,"WD","CRC"
"99","13","2004-04-08",0,0,0,2004,1,"WD","CRC"
"100","13","2004-04-09",0,0,0,2004,1,"WE","CRC"
"101","13","2004-04-10",0,0,0,2004,1,"WE","CRC"
"102","13","2004-04-11",0,0,0,2004,1,"WE","CRC"
"103","13","2004-04-12",0,0,0,2004,1,"WD","CRC"
"104","13","2004-04-13",0,0,0,2004,1,"WD","CRC"
"105","13","2004-04-14",0,0,0,2004,1,"WD","CRC"
"106","13","2004-04-15",0,0,0,2004,1,"WD","CRC"
"107","13","2004-04-16",0,0,0,2004,1,"WE","CRC"
"108","13","2004-04-17",0,0,0,2004,1,"WE","CRC"
"109","13","2004-04-18",0,0,0,2004,1,"WE","CRC"
"110","13","2004-04-19",0,0,0,2004,1,"WD","CRC"
"111","13","2004-04-20",0,0,0,2004,1,"WD","CRC"
"112","13","2004-04-21",0,0,0,2004,1,"WD","CRC"
"113","13","2004-04-22",0,0,0,2004,1,"WD","CRC"
"114","13","2004-04-23",0,0,0,2004,1,"WE","CRC"
"115","13","2004-04-24",0,0,0,2004,1,"WE","CRC"
"116","13","2004-04-25",0,0,0,2004,1,"WE","CRC"
"117","13","2004-04-26",0,0,0,2004,1,"WD","CRC"
"118","13","2004-04-27",0,0,0,2004,1,"WD","CRC"
"119","13","2004-04-28",0,0,0,2004,1,"WD","CRC"
"120","13","2004-04-29",0,0,0,2004,1,"WD","CRC"
"121","13","2004-04-30",0,0,0,2004,1,"WE","CRC"
"122","10","2004-01-01",0,0,0,2004,1,"WD","CRC"
"123","10","2004-01-02",0,0,0,2004,1,"WE","CRC"
"124","10","2004-01-03",0,0,0,2004,1,"WE","CRC"
"125","10","2004-01-04",0,0,0,2004,1,"WE","CRC"
"126","10","2004-01-05",0,0,0,2004,1,"WD","CRC"
"127","10","2004-01-06",0,0,0,2004,1,"WD","CRC"
"128","10","2004-01-07",0,0,0,2004,1,"WD","CRC"
"129","10","2004-01-08",0,0,0,2004,1,"WD","CRC"
"130","10","2004-01-09",0,0,0,2004,1,"WE","CRC"
"131","10","2004-01-10",0,0,0,2004,1,"WE","CRC"
"132","10","2004-01-11",0,0,0,2004,1,"WE","CRC"
"133","10","2004-01-12",0,0,0,2004,1,"WD","CRC"
"134","10","2004-01-13",0,0,0,2004,1,"WD","CRC"
"135","10","2004-01-14",0,0,0,2004,1,"WD","CRC"
"136","10","2004-01-15",0,0,0,2004,1,"WD","CRC"
"137","10","2004-01-16",0,0,0,2004,1,"WE","CRC"
"138","10","2004-01-17",0,0,0,2004,1,"WE","CRC"
"139","10","2004-01-18",0,0,0,2004,1,"WE","CRC"
"140","10","2004-01-19",0,0,0,2004,1,"WD","CRC"
"141","10","2004-01-20",0,0,0,2004,1,"WD","CRC"
"142","10","2004-01-21",0,0,0,2004,1,"WD","CRC"
"143","10","2004-01-22",0,0,0,2004,1,"WD","CRC"
"144","10","2004-01-23",0,0,0,2004,1,"WE","CRC"
"145","10","2004-01-24",0,0,0,2004,1,"WE","CRC"
"146","10","2004-01-25",0,0,0,2004,1,"WE","CRC"
"147","10","2004-01-26",0,0,0,2004,1,"WD","CRC"
"148","10","2004-01-27",0,0,0,2004,1,"WD","CRC"
"149","10","2004-01-28",0,0,0,2004,1,"WD","CRC"
"150","10","2004-01-29",0,0,0,2004,1,"WD","CRC"
"151","10","2004-01-30",0,0,0,2004,1,"WE","CRC"
"152","10","2004-01-31",0,0,0,2004,1,"WE","CRC"
"153","10","2004-02-01",0,0,0,2004,1,"WE","CRC"
"154","10","2004-02-02",0,0,0,2004,1,"WD","CRC"
"155","10","2004-02-03",0,0,0,2004,1,"WD","CRC"
"156","10","2004-02-04",0,0,0,2004,1,"WD","CRC"
"157","10","2004-02-05",0,0,0,2004,1,"WD","CRC"
"158","10","2004-02-06",0,0,0,2004,1,"WE","CRC"
"159","10","2004-02-07",0,0,0,2004,1,"WE","CRC"
"160","10","2004-02-08",0,0,0,2004,1,"WE","CRC"
"161","10","2004-02-09",0,0,0,2004,1,"WD","CRC"
"162","10","2004-02-10",0,0,0,2004,1,"WD","CRC"
