start_date,end_date,coho_ad_k,coho_um_k,coho_unk_k,coho_ad_r,coho_um_r,coho_unk_r,catch_area_code,source
12/7/2015,12/13/2015,0,0,0,0,0,0,6,Chinook Winter 2015-2016 MSF Report
12/7/2015,12/13/2015,0,0,0,0,0,0,7,Chinook Winter 2015-2016 MSF Report
12/14/2015,12/20/2015,0,0,0,0,0,0,81,Chinook Winter 2015-2016 Report
12/14/2015,12/20/2015,0,0,0,0,2,0,82,Chinook Winter 2015-2016 Report
12/14/2015,12/20/2015,0,0,0,0,0,0,6,Chinook Winter 2015-2016 MSF Report
12/14/2015,12/20/2015,0,0,0,0,0,0,7,Chinook Winter 2015-2016 MSF Report
12/21/2015,12/27/2015,0,0,0,0,0,5,81,Chinook Winter 2015-2016 Report
12/21/2015,12/27/2015,0,0,0,0,0,0,82,Chinook Winter 2015-2016 Report
12/21/2015,12/27/2015,0,0,0,0,0,0,6,Chinook Winter 2015-2016 MSF Report
12/21/2015,12/27/2015,0,0,0,0,0,0,7,Chinook Winter 2015-2016 MSF Report
12/28/2015,1/3/2016,0,0,0,0,0,5,81,Chinook Winter 2015-2016 Report
12/28/2015,1/3/2016,0,0,0,0,0,0,82,Chinook Winter 2015-2016 Report
12/28/2015,1/3/2016,0,0,0,0,0,0,6,Chinook Winter 2015-2016 MSF Report
12/28/2015,1/3/2016,0,0,0,0,0,3,7,Chinook Winter 2015-2016 MSF Report
1/4/2016,1/10/2016,0,0,0,0,0,0,81,Chinook Winter 2015-2016 Report
1/4/2016,1/10/2016,0,0,0,0,0,0,82,Chinook Winter 2015-2016 Report
1/4/2016,1/10/2016,0,0,0,0,0,7,6,Chinook Winter 2015-2016 MSF Report
1/4/2016,1/10/2016,0,0,0,3,0,0,7,Chinook Winter 2015-2016 MSF Report
1/11/2016,1/17/2016,0,0,0,0,0,0,81,Chinook Winter 2015-2016 Report
1/11/2016,1/17/2016,0,0,0,0,0,0,82,Chinook Winter 2015-2016 Report
1/11/2016,1/17/2016,0,0,0,0,0,0,6,Chinook Winter 2015-2016 MSF Report
1/11/2016,1/17/2016,0,0,0,0,0,0,7,Chinook Winter 2015-2016 MSF Report
1/16/2016,1/17/2016,0,0,0,0,0,0,9,Chinook Winter 2015-2016 MSF Report
1/18/2016,1/24/2016,0,0,0,0,0,0,81,Chinook Winter 2015-2016 Report
1/18/2016,1/24/2016,0,0,0,0,0,0,82,Chinook Winter 2015-2016 Report
1/18/2016,1/24/2016,0,0,0,0,0,0,6,Chinook Winter 2015-2016 MSF Report
1/18/2016,1/24/2016,0,0,0,0,0,0,7,Chinook Winter 2015-2016 MSF Report
1/18/2016,1/24/2016,0,0,0,0,0,0,9,Chinook Winter 2015-2016 MSF Report
1/25/2016,1/31/2016,0,0,0,0,0,0,81,Chinook Winter 2015-2016 Report
1/25/2016,1/31/2016,0,0,0,0,0,0,82,Chinook Winter 2015-2016 Report
1/25/2016,1/31/2016,0,0,0,0,0,0,6,Chinook Winter 2015-2016 MSF Report
1/25/2016,1/31/2016,0,0,0,0,0,0,7,Chinook Winter 2015-2016 MSF Report
1/25/2016,1/31/2016,0,0,0,0,0,0,9,Chinook Winter 2015-2016 MSF Report
2/1/2016,2/7/2016,0,0,0,0,0,0,81,Chinook Winter 2015-2016 Report
2/1/2016,2/7/2016,0,0,0,0,0,0,82,Chinook Winter 2015-2016 Report
2/1/2016,2/7/2016,0,0,0,0,0,0,6,Chinook Winter 2015-2016 MSF Report
2/1/2016,2/7/2016,0,0,0,0,0,0,7,Chinook Winter 2015-2016 MSF Report
2/1/2016,2/7/2016,0,0,0,0,0,0,9,Chinook Winter 2015-2016 MSF Report
2/8/2016,2/14/2016,0,0,0,0,0,0,81,Chinook Winter 2015-2016 Report
2/8/2016,2/14/2016,0,0,0,0,0,0,82,Chinook Winter 2015-2016 Report
2/8/2016,2/14/2016,0,0,0,0,0,0,6,Chinook Winter 2015-2016 MSF Report
2/8/2016,2/14/2016,0,0,0,0,0,0,7,Chinook Winter 2015-2016 MSF Report
2/8/2016,2/14/2016,0,0,0,0,0,0,9,Chinook Winter 2015-2016 MSF Report
2/15/2016,2/21/2016,0,0,0,0,0,0,81,Chinook Winter 2015-2016 Report
2/15/2016,2/21/2016,0,0,0,0,0,0,82,Chinook Winter 2015-2016 Report
2/15/2016,2/21/2016,0,0,0,0,0,0,6,Chinook Winter 2015-2016 MSF Report
2/15/2016,2/21/2016,0,0,0,0,0,0,7,Chinook Winter 2015-2016 MSF Report
2/15/2016,2/21/2016,0,0,0,7,0,0,9,Chinook Winter 2015-2016 MSF Report
2/22/2016,2/28/2016,0,0,0,0,0,0,81,Chinook Winter 2015-2016 Report
2/22/2016,2/28/2016,0,0,0,0,0,0,82,Chinook Winter 2015-2016 Report
